"anio","semana","escala","modelo","formula","vif_max","colineal","n","MAE","RMSE","sesgo","R2"
2012,1,"original","MTRA",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",1.88232535414441,FALSE,686,37.8192345904921,57.2274248058289,-0.0492826545914314,0.660388762465037
2012,1,"original","Mxy_alt",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,FALSE,686,49.7938508148285,64.6881543513683,-0.0806049214351978,0.566066513214571
2012,1,"original","Mxy_T",".respuesta ~ x_km + y_km + temperatura_bilineal_c",33.618770701546,TRUE,686,48.9240159638439,64.4258774794631,-0.0991941372899149,0.569578129738192
2012,1,"original","Mxy_R",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia",2.98097511797017,FALSE,686,34.3021129625704,53.8839654575527,-0.0389776692853492,0.698912487498999
2012,1,"original","Mxy_TR",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia",44.3496939622966,TRUE,686,33.9687851217882,53.3853660283504,-0.0241006045905906,0.70445875735597
2012,1,"original","Mxy_TA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + altitud_m",50.3134051354786,TRUE,686,48.0222785867255,63.9009184150187,-0.104831569574907,0.57656393436394
2012,1,"original","Mxy_RA",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia + altitud_m",3.49153103832385,FALSE,686,33.6781302350197,53.5731368316929,-0.0456341271159741,0.702376103833581
2012,1,"original","Mxy_TRA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",66.4655107470639,TRUE,686,33.9014835863916,53.376083475832,-0.0320491817479212,0.704561524792199
2012,1,"raiz","M0",".respuesta ~ 1",NA,FALSE,686,62.1324796362219,100.092406454195,-18.8668003449933,-0.0389051693135249
2012,1,"raiz","Mxy",".respuesta ~ x_km + y_km",1.3544415662,FALSE,686,38.4883779508612,60.7150269167023,-7.027295411885,0.617733685607999
2012,1,"raiz","Malt",".respuesta ~ altitud_m",1,FALSE,686,50.4914653939841,78.2891357181659,-11.9518198798096,0.364410604133996
2012,1,"raiz","MT",".respuesta ~ temperatura_bilineal_c",1,FALSE,686,37.9116074805489,62.2234702621726,-6.68731035659224,0.598503186814554
2012,1,"raiz","MR",".respuesta ~ radiacion_bilineal_mj_m2_dia",1,FALSE,686,62.1723397154689,99.9033296467121,-18.7922864022181,-0.0349838460766156
2012,1,"raiz","MTR",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia",1.07431557253778,FALSE,686,34.188966646747,55.6490531945996,-5.23900847205387,0.67886384369714
2012,1,"raiz","MTA",".respuesta ~ temperatura_bilineal_c + altitud_m",1.84875046862568,FALSE,686,37.2749283478904,61.3119461771851,-6.5475897253542,0.610180240517587
2012,1,"raiz","MRA",".respuesta ~ radiacion_bilineal_mj_m2_dia + altitud_m",1.08051401619226,FALSE,686,48.0993495642851,73.9225642047191,-10.9743285556267,0.433333300437823
2012,1,"raiz","MTRA",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",1.88232535414441,FALSE,686,33.1472247663027,54.439114645284,-4.95273162960942,0.69267651265324
2012,1,"raiz","Mxy_alt",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,FALSE,686,38.4149963657016,60.4929422020915,-7.00396302359916,0.620525094698942
2012,1,"raiz","Mxy_T",".respuesta ~ x_km + y_km + temperatura_bilineal_c",33.618770701546,TRUE,686,38.3720370748105,61.0693163565105,-6.59872907512974,0.613259404031641
2012,1,"raiz","Mxy_R",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia",2.98097511797017,FALSE,686,29.3894454117857,53.1457385991731,-4.2239254831111,0.707105956442653
2012,1,"raiz","Mxy_TR",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia",44.3496939622966,TRUE,686,29.4132893578275,53.2024327597658,-4.21230310364532,0.706480723284808
2012,1,"raiz","Mxy_TA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + altitud_m",50.3134051354786,TRUE,686,37.8151588223365,60.845739900484,-6.40838332447695,0.616085956533642
2012,1,"raiz","Mxy_RA",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia + altitud_m",3.49153103832385,FALSE,686,29.3540084732447,53.0000164989079,-4.1955422956415,0.708709946598059
2012,1,"raiz","Mxy_TRA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",66.4655107470639,TRUE,686,29.4939696971411,53.0422841642624,-4.18537024477344,0.708245152026298
2012,1,"log1p","M0",".respuesta ~ 1",NA,FALSE,686,57.2174077024963,103.215959336094,-31.5947854273275,-0.104758501924636
2012,1,"log1p","Mxy",".respuesta ~ x_km + y_km",1.3544415662,FALSE,686,34.6172364255782,64.458136639847,-15.3955607878071,0.569146982350474
2012,1,"log1p","Malt",".respuesta ~ altitud_m",1,FALSE,686,47.706026367889,84.9301816371284,-24.8240035181491,0.252006624952574
2012,1,"log1p","MT",".respuesta ~ temperatura_bilineal_c",1,FALSE,686,34.2167365046267,63.1665809435215,-14.4043918212382,0.586240111688563
2012,1,"log1p","MR",".respuesta ~ radiacion_bilineal_mj_m2_dia",1,FALSE,686,57.2772755258458,103.233885196319,-31.5856172882042,-0.105142269440945
2012,1,"log1p","MTR",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia",1.07431557253778,FALSE,686,31.1616053619435,55.6232550036606,-11.1803563180202,0.679161523929031
2012,1,"log1p","MTA",".respuesta ~ temperatura_bilineal_c + altitud_m",1.84875046862568,FALSE,686,34.0353963981554,62.775461146309,-14.2675663036703,0.591348150348514
2012,1,"log1p","MRA",".respuesta ~ radiacion_bilineal_mj_m2_dia + altitud_m",1.08051401619226,FALSE,686,45.5721006512083,81.060806253336,-23.5942239916615,0.318610426730855
2012,1,"log1p","MTRA",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",1.88232535414441,FALSE,686,30.7422635125914,54.7189759718021,-10.6125781099133,0.689508605356004
2012,1,"log1p","Mxy_alt",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,FALSE,686,34.7086813315125,64.6338229448168,-15.3691408984258,0.566795126238786
2012,1,"log1p","Mxy_T",".respuesta ~ x_km + y_km + temperatura_bilineal_c",33.618770701546,TRUE,686,35.1811674561675,64.7020392705868,-14.7080333064673,0.565880210850574
2012,1,"log1p","Mxy_R",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia",2.98097511797017,FALSE,686,29.2230005895042,60.0901368922496,-6.27505113910046,0.625561900445257
2012,1,"log1p","Mxy_TR",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia",44.3496939622966,TRUE,686,28.3374666377415,56.362044624739,-7.86767222176735,0.670582152949645
2012,1,"log1p","Mxy_TA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + altitud_m",50.3134051354786,TRUE,686,35.154892304935,64.7760327212832,-14.1383095052527,0.564886721649982
2012,1,"log1p","Mxy_RA",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia + altitud_m",3.49153103832385,FALSE,686,29.2520350669225,60.1517368630116,-6.27536220098325,0.624793814378613
2012,1,"log1p","Mxy_TRA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",66.4655107470639,TRUE,686,28.5588592460485,55.7466911782077,-7.9744284818143,0.67773596849719
2013,1,"original","M0",".respuesta ~ 1",NA,FALSE,686,20.3791326541793,28.7036553637137,-9.26943673259935e-15,-0.00292183920294109
2013,1,"original","Mxy",".respuesta ~ x_km + y_km",1.3544415662,FALSE,686,13.8239991652986,18.5668792108485,-0.0212869064141527,0.580366164382421
2013,1,"original","Malt",".respuesta ~ altitud_m",1,FALSE,686,17.6906397535518,23.1747558930134,-0.0274805434815304,0.346232975849088
2013,1,"original","MT",".respuesta ~ temperatura_bilineal_c",1,FALSE,686,14.7821710921275,20.0656632822445,-0.0177542018692045,0.509883058319725
2013,1,"original","MR",".respuesta ~ radiacion_bilineal_mj_m2_dia",1,FALSE,686,16.0851492239976,21.1145752783213,-0.0226759337451471,0.457303057922493
2013,1,"original","MTR",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia",7.71236308856383,FALSE,686,14.8409418379231,20.0603627613199,-0.0216173604531182,0.510141961496023
2013,1,"original","MTA",".respuesta ~ temperatura_bilineal_c + altitud_m",1.83544774866545,FALSE,686,14.3182433830765,19.6258793591968,-0.0227811081006526,0.531131642706179
2013,1,"original","MRA",".respuesta ~ radiacion_bilineal_mj_m2_dia + altitud_m",1.98050316944327,FALSE,686,15.7589328730269,20.6188931602384,-0.025588052435141,0.482484488929077
2013,1,"original","MTRA",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",8.36441112419095,FALSE,686,14.2917643426152,19.6357833513171,-0.0233682996803575,0.530658304404225
2013,1,"original","Mxy_alt",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,FALSE,686,13.8151401057078,18.5520814927011,-0.0240280332755731,0.581034790340867
2013,1,"original","Mxy_T",".respuesta ~ x_km + y_km + temperatura_bilineal_c",29.7419796650132,TRUE,686,13.7278782569741,18.2309142882523,-0.0211652142976189,0.595415190240017
2013,1,"original","Mxy_R",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia",35.1791762182785,TRUE,686,10.3986286131415,15.6833279403492,-0.0207285359437825,0.700588055370448
2013,1,"original","Mxy_TR",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia",58.2341542027564,TRUE,686,10.6812135653146,15.4671759209472,-0.0182645753322567,0.708784340302388
2013,1,"original","Mxy_TA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + altitud_m",44.0589220786458,TRUE,686,13.7423434612693,18.2452086386974,-0.0213960628965418,0.594780494226751
2013,1,"original","Mxy_RA",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia + altitud_m",37.4158505791491,TRUE,686,10.3819190582127,15.6744047908645,-0.023356396886398,0.700928663882647
2013,1,"original","Mxy_TRA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",72.2772760583554,TRUE,686,10.7106666231262,15.4763314643331,-0.0181922032740587,0.708439477511836
2013,1,"raiz","M0",".respuesta ~ 1",NA,FALSE,686,16.9054060181459,30.4705631069079,-10.2820917136427,-0.130195659222739
2013,1,"raiz","Mxy",".respuesta ~ x_km + y_km",1.3544415662,FALSE,686,9.10616754261961,17.0661777808268,-4.04403841600139,0.645460028554959
2013,1,"raiz","Malt",".respuesta ~ altitud_m",1,FALSE,686,12.9475433048346,23.5475664888361,-6.79097953495715,0.32502958380589
2013,1,"raiz","MT",".respuesta ~ temperatura_bilineal_c",1,FALSE,686,10.026642357591,18.9218885660108,-4.411630227907,0.564165469678207
2013,1,"raiz","MR",".respuesta ~ radiacion_bilineal_mj_m2_dia",1,FALSE,686,11.313121383527,20.4564139951873,-5.45436922624538,0.490608512464426
2013,1,"raiz","MTR",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia",7.71236308856383,FALSE,686,10.0264803306335,19.0777902415587,-4.41537299835278,0.55695400662088
2013,1,"raiz","MTA",".respuesta ~ temperatura_bilineal_c + altitud_m",1.83544774866545,FALSE,686,9.90328880155219,18.3998984785375,-4.30847011334498,0.587880154709403
2013,1,"raiz","MRA",".respuesta ~ radiacion_bilineal_mj_m2_dia + altitud_m",1.98050316944327,FALSE,686,10.9978267592301,19.7108567757467,-5.32438030769313,0.527062578704702
2013,1,"raiz","MTRA",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",8.36441112419095,FALSE,686,9.91973483295344,18.6260923770413,-4.24044888786499,0.577685318568006
2013,1,"raiz","Mxy_alt",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,FALSE,686,9.12709761086579,17.0252237125508,-4.063578312252,0.647159581036195
2013,1,"raiz","Mxy_T",".respuesta ~ x_km + y_km + temperatura_bilineal_c",29.7419796650132,TRUE,686,9.05308592566876,16.9426145281994,-4.05472011315815,0.650575353375563
