"anio","semana","n_celdas","estado","escala","modelo","formula","vif_max","MAE","RMSE","sesgo","R2","moran_I","moran_p","familia","nugget","psill","range_km","SSE","tipo_kriging","RMSE_mcg_kriging","MAE_mcg_kriging","sesgo_mcg_kriging","R2_predictivo_mcg_kriging","n_validacion_kriging","cobertura95_escala","validacion"
2017,28,686,"FINAL_KRIGING","log1p","MTRA",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",1.95367221476561,7.36451654898652,12.2900301139756,-3.86421933940465,0.883356302127619,0.692285055444542,0.005,"esferico",0.0552361227324752,0.496298413079814,36.6107929130584,0.0406466721967819,"universal",4.61969451737739,2.71971512610074,-0.584357393256583,0.983519062902234,686,0.941690962099125,"LOO_condicional_covarianza_fija"
2018,28,686,"FINAL_KRIGING","log1p","MT",".respuesta ~ temperatura_bilineal_c",1,5.25207433979199,7.877402413886,-1.31964691047908,0.916147892309318,0.734430307705628,0.005,"esferico",0.0142780906953019,0.374857510743729,42.9520044835611,0.00949714721979893,"universal",3.19979292752794,1.87740367027361,-0.257519098564502,0.98616460164242,686,0.922740524781341,"LOO_condicional_covarianza_fija"
2019,28,686,"FINAL_KRIGING","raiz","Mxy_R",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia",1.6693182008837,6.17230778254095,10.5458165912301,-2.54096910772115,0.76754904622048,0.745336167098908,0.005,"esferico",0.179054005818877,2.44782601153528,47.4488793490401,0.11541603499364,"universal",4.05727652522701,2.17369129722912,-0.599138318144408,0.965593529732905,686,0.918367346938776,"LOO_condicional_covarianza_fija"
2020,28,686,"FINAL_KRIGING","original","MTR",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia",1.62806332193329,15.9517699545551,22.1970353289397,-0.0177799633230808,0.515787424240203,0.882494536105642,0.005,"esferico",0,541.622459901755,93.8278276220341,2375.75174573089,"universal",5.35777903079055,3.46961737472829,-0.0474760511700346,0.971789179711045,686,0.963556851311953,"LOO_condicional_covarianza_fija"
2021,28,686,"FINAL_KRIGING","log1p","Mxy",".respuesta ~ x_km + y_km",1.3544415662,6.99567135847687,11.7937592930272,-4.49677677582425,0.76847923968058,0.688816068490689,0.005,"esferico",0.110085453934669,0.743306619286307,42.5559004440365,0.183582038663558,"universal",2.97840211503018,1.96982913891754,-0.548660057036346,0.985234366524789,686,0.928571428571429,"LOO_condicional_covarianza_fija"
2022,28,686,"FINAL_KRIGING","original","Mxy_alt",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,8.72345063132363,11.6721428473813,-0.0141524114908835,0.286723082411776,0.864220732592379,0.005,"esferico",0,155.470312687041,95.6017591062503,48.5993912875449,"universal",3.32784211966008,1.92757446870697,-0.0147153827485667,0.942019439350133,686,0.959183673469388,"LOO_condicional_covarianza_fija"
2023,28,686,"FINAL_KRIGING","raiz","Mxy_RA",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia + altitud_m",6.43053844135588,11.936915221966,15.3579222172123,-2.05374253147049,0.656896040715293,0.789332330620718,0.005,"esferico",0.0850978280185707,2.10430596926098,55.6300509657599,0.0189637306898676,"universal",5.29215662778825,3.8342586996981,-0.427709802886199,0.959259516330267,686,0.950437317784257,"LOO_condicional_covarianza_fija"
2024,28,686,"FINAL_KRIGING","log1p","MTRA",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",2.36390730964632,8.33730485882276,15.0910035745816,-3.89947144317081,0.889449595312571,0.714573304789165,0.005,"esferico",0.0107126469710447,0.380441326296042,35.1624440714017,0.0200105308973882,"universal",4.70189750043225,2.52290180854451,-0.410314877348535,0.989268253445286,686,0.906705539358601,"LOO_condicional_covarianza_fija"
2025,28,686,"FINAL_KRIGING","log1p","Mxy_alt",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,5.71742712755771,7.64573591587432,-1.22486160728433,0.927303117908198,0.670159045008953,0.005,"gaussiano",0.0772447454486089,0.168788056669512,21.2348192289693,0.000625640958317543,"universal",3.41240845935278,2.3379972022027,-0.317638738699184,0.98551897785239,686,0.954810495626822,"LOO_condicional_covarianza_fija"
2011,29,686,"FINAL_KRIGING","log1p","Mxy_R",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia",1.75153183755667,12.8301373973388,16.653229597171,-4.36573672839734,0.776101066454616,0.686698276358541,0.005,"esferico",0.0976656958324603,0.657311120452896,46.6740337342354,0.0160695029449934,"universal",8.62733313642061,5.52553334503877,-1.2843798302836,0.939909167318471,686,0.935860058309038,"LOO_condicional_covarianza_fija"
