"familia","metodo","nugget","psill","range_km","SSE"
"exponencial","MCO",17.5114838635327,335.900138224602,21.2943478266221,3157.11396082563
"exponencial","MCP",0,354.741655747189,20.472302503996,57430252.5535172
"esferico","MCO",84.5136037025436,264.382537163977,63.7015108684308,1372.32033571508
"esferico","MCP",84.8951796534912,265.150460350721,64.07253127741,26047548.7164847
"gaussiano","MCO",123.652110791792,225.407766919968,31.1563740096059,1773.58052351608
"gaussiano","MCP",128.352760013519,222.125582457678,31.7316612434078,32517227.6824659
"exponencial","MCO",0,779.297859169704,26.4229962701836,23667.6502055399
"exponencial","MCP",0,788.561371265151,26.7490174609983,408439515.236842
"esferico","MCO",115.069317384014,646.097717591125,73.254833543259,12222.1585893578
"esferico","MCP",126.624312314212,641.126494983006,75.1979754006649,202181720.995557
"gaussiano","MCO",205.413932616337,555.659771072021,35.4796280886694,14578.1843182439
"gaussiano","MCP",226.435896803082,542.154737428767,36.9706762753572,233159054.133569
"exponencial","MCO",0,3.9521749736941,39.8605116696351,4.24818181449232
"exponencial","MCP",0,4.02929742231098,38.4472842012392,68013.502864553
"esferico","MCO",0,3.69526338731099,85.4670821433917,2.38178568292519
"esferico","MCP",0,3.77657966886994,85.70391648121,38134.0186808794
"gaussiano","MCO",0.0619923232059877,3.64808927277988,39.054301766455,2.12473542832576
"gaussiano","MCP",0,3.79310752759213,39.5242422200517,34691.3757403539
"exponencial","MCO",0,6.2496097898984,35.5774341314717,9.64185343078549
"exponencial","MCP",0,6.30760526911289,32.8350123796476,151447.864469847
"esferico","MCO",0,5.9091157717006,77.6355037493585,4.80205961596314
"esferico","MCP",0,6.01749050191432,76.9028058418952,76813.8472950283
"gaussiano","MCO",0,5.93567834366905,35.1938475653648,3.72966098155973
"gaussiano","MCP",0,6.04455968507108,35.5502799654399,65050.6442088328
"exponencial","MCO",0,305.152538593977,15.9304155581457,21887.9804177808
"exponencial","MCP",0,309.558500702579,14.0323835521722,360167495.49785
"esferico","MCO",0,304.264386215337,42.9705463336835,14977.6252667762
"esferico","MCP",0,309.587064790882,43.166147893291,274338675.360589
"gaussiano","MCO",33.0112086147579,271.26589872121,20.3349901222784,15197.5246443898
"gaussiano","MCP",24.9182290463224,284.763548386255,20.3416162342507,279844585.062671
"exponencial","MCO",0.129938201107732,1.62672329941828,35.6253387121686,0.0703021389562964
"exponencial","MCP",0.166630876095054,1.57095240416653,35.1603674651174,1178.43885561691
"esferico","MCO",0.258632464754996,1.36752860889362,74.5844716286912,0.133737400112589
"esferico","MCP",0.314724983141827,1.29130172516993,74.8507701870767,2102.85928227515
"gaussiano","MCO",0.456907470849485,1.17369090703591,36.8115138454358,0.133857585471725
"gaussiano","MCP",0.555713026630534,1.06412435662197,39.0078980119513,1983.02992641459
"exponencial","MCO",0,1781.57037330087,59.0991006973271,62511.5319462782
"exponencial","MCP",90.5805191391094,1719.60051839596,64.8016282844663,1134889813.85787
"esferico","MCO",210.988225932082,1396.60300960224,134.968295595839,117791.54542567
"esferico","MCP",346.527436757142,1293.59176515918,148.675312218016,1668207831.19451
"gaussiano","MCO",312.726500354093,1197.44066766447,53.5269085933221,173903.685337964
"gaussiano","MCP",503.355989039528,1062.21002394133,65.2909922202237,2462226142.9735
"exponencial","MCO",0,0.958041742845423,21.938383478476,0.0444299369502884
"exponencial","MCP",0,0.96315399040302,20.9632599051039,783.945826962227
"esferico","MCO",0.0805316289683412,0.860565602418527,58.2220601607577,0.0194470214637443
"esferico","MCP",0.0925743788581133,0.855739077481361,59.4210866912912,362.208743561153
"gaussiano","MCO",0.208074992298898,0.732948393348068,28.3351264454516,0.0228215200911987
"gaussiano","MCP",0.227192358275145,0.721566534114804,29.1310922345561,419.985996725875
"exponencial","MCO",0,764.341073219016,21.7251504558152,83039.2355271285
"exponencial","MCP",0,776.179025169676,20.764097973014,1334940976.12998
"esferico","MCO",21.0216196508444,732.172258623297,56.4299822064287,55731.8306488095
"esferico","MCP",25.9044067329879,740.542817485818,58.1897514964834,929436334.786239
"gaussiano","MCO",130.985632563485,622.535473320031,27.5725612701596,57273.4316319373
"gaussiano","MCP",140.392890510899,626.526828386192,28.4840658271902,956470982.771066
"exponencial","MCO",0,128.099535530587,21.0555335093455,666.359661785132
"exponencial","MCP",0,127.479177617955,19.4886210636432,11842895.1453078
"esferico","MCO",7.57789819238394,117.714175155532,52.7128271979214,267.312255675505
"esferico","MCP",6.22599476557429,118.97336992342,52.3128260386545,5220960.63960131
"gaussiano","MCO",25.634082042272,99.7071257057539,25.8168092507177,301.888311143651
"gaussiano","MCP",24.3607180951452,100.870308711383,25.5038092348494,5904057.10932673
"exponencial","MCO",0.0102277625392691,0.764154430276749,200.942249782082,0.0577969780464935
"exponencial","MCP",0,0.764154430276749,202.327282011916,827.177518613954
"esferico","MCO",0.00507524384364863,0.584060299340624,266.897808876575,0.047863866889494
"esferico","MCP",0,0.573655294534135,266.897808876575,644.644245262349
"gaussiano","MCO",0.0692279143404712,0.764154430276749,160.636333240137,0.0184433420369482
"gaussiano","MCP",0.0431925406982257,0.764154430276749,152.017419303536,211.206854880317
"exponencial","MCO",0,1147.539924883,23.7124466222634,76299.9025071064
"exponencial","MCP",0,1162.5869550056,24.0081529589841,1402535033.05336
"esferico","MCO",193.332128616783,937.37454296351,69.3363945039832,43837.8532542646
"esferico","MCP",194.632328420984,947.655532698396,70.604148507354,791329712.588097
"gaussiano","MCO",328.04810844546,802.655933295515,33.7021642420008,50914.3473277307
"gaussiano","MCP",348.48678744927,795.022419434355,34.8741603943333,913344456.975797
"exponencial","MCO",43.6084326919699,319.617153334693,35.3932669093624,918.01387799553
"exponencial","MCP",40.0453505352451,323.4536444804,35.0805795251944,17327995.5823942
"esferico","MCO",84.9140023835084,260.611665983264,87.174158331296,968.850397656809
"esferico","MCP",96.0199370894324,249.263187685737,89.4925773613495,12051752.3355733
"gaussiano","MCO",120.726769534887,224.87506052204,42.2859515389926,1669.28239836399
"gaussiano","MCP",138.457909692155,208.608193230154,45.2645466300276,17682442.6829321
"exponencial","MCO",0,553.673980596612,22.0064675168488,133226.723648155
"exponencial","MCP",0,571.994900342536,21.617380247319,2261860924.7072
"esferico","MCO",25.6081913374798,527.648373714202,63.0674352976516,108552.474441866
"esferico","MCP",9.89556208179632,561.69994178758,64.6611482850148,1825377045.54478
