"anio","semana","media","mediana","sd","minimo","maximo","n_validos","corte"
2020,28,41.4483814701742,35.3689975738525,31.9222660702441,0,189.777694702148,686,"2020_banda_28"
2020,24,41.4806902366894,23.505256652832,42.7573296127766,5.17811346054077,203.549545288086,686,"2020_banda_24"
2025,8,41.5435805049652,36.084114074707,27.9683608728122,0,152.400039672852,686,"2025_banda_08"
2017,30,41.8273846748619,27.7995681762695,35.4460945825751,0,171.345306396484,686,"2017_banda_30"
2016,38,41.8490192347991,38.066089630127,19.8573101179633,0,121.328430175781,686,"2016_banda_38"
2012,21,41.8555716029409,23.2174253463745,51.1082234021926,0,217.562530517578,686,"2012_banda_21"
2017,46,41.8845874536837,28.529408454895,43.7833245572192,0,246.026245117188,686,"2017_banda_46"
2015,39,42.0431526110402,19.2825517654419,44.1601415330726,0,195.745529174805,686,"2015_banda_39"
2015,45,42.1583138487082,42.5566673278809,25.5678214728183,0,114.407936096191,686,"2015_banda_45"
2012,35,42.3589055816217,13.2399129867554,77.7061704834517,0,333.701202392578,686,"2012_banda_35"
2023,50,42.3913425599868,27.924334526062,37.1918951957585,0,164.455474853516,686,"2023_banda_50"
2012,14,42.4291103518739,32.3659839630127,27.0110257137772,13.3817882537842,150.035690307617,686,"2012_banda_14"
2023,7,42.5441880976841,23.7626066207886,37.0318350118257,0,139.986846923828,686,"2023_banda_07"
2010,22,42.6511590578118,32.2415390014648,33.3648179199258,0,209.825347900391,686,"2010_banda_22"
2022,38,42.7108775992435,41.7626247406006,14.4212802306661,8.27651405334473,84.9455795288086,686,"2022_banda_38"
2024,13,42.8300740086302,41.9450988769531,13.4488627201022,10.3308115005493,83.368896484375,686,"2024_banda_13"
2020,8,42.8307586734566,34.760591506958,25.1393634106531,3.89104580879211,123.174263000488,686,"2020_banda_08"
2018,24,42.8544870416903,22.9217987060547,44.5128810251083,4.26216602325439,196.590118408203,686,"2018_banda_24"
2013,48,42.8688052089847,28.9654760360718,45.3632227893641,0,207.864807128906,686,"2013_banda_48"
2023,36,43.0396664455403,29.3496084213257,34.8039539273876,7.21944522857666,171.904388427734,686,"2023_banda_36"
2025,49,43.2226484954878,24.8667821884155,39.2828002636595,0,261.305786132812,686,"2025_banda_49"
2014,14,43.254321974151,25.1258821487427,38.9050824483238,0,157.147979736328,686,"2014_banda_14"
2020,33,43.340481171455,40.6323394775391,21.70416859772,8.2528715133667,104.695411682129,686,"2020_banda_33"
2010,24,43.535441145605,21.1304349899292,57.1391028844562,0,324.508270263672,686,"2010_banda_24"
2020,21,43.5378209175243,20.8405952453613,41.0037053054187,2.21439814567566,153.912887573242,686,"2020_banda_21"
2017,26,43.7840106376059,36.892017364502,27.5721568743715,5.45786428451538,161.284393310547,686,"2017_banda_26"
2016,31,43.7907626083224,22.7677068710327,48.003672155614,0,222.786148071289,686,"2016_banda_31"
2012,38,43.8171919195019,8.97044324874878,65.0318512266314,0,318.282684326172,686,"2012_banda_38"
2025,35,44.0036752088424,24.8844270706177,47.2755990044094,0,189.210891723633,686,"2025_banda_35"
2025,19,44.0319336440751,39.5051383972168,19.3571436961605,11.1233491897583,119.776351928711,686,"2025_banda_19"
2025,17,44.3861824847519,39.7412261962891,23.2942191288032,0,134.947982788086,686,"2025_banda_17"
