"anio","semana","variable","criterio","validos","NA_interno_original","NA_control_calidad","Dato_fuera_Valle"
2010,49,"radiacion","interseccion",31,758,0,0
2010,50,"radiacion","interseccion",31,758,0,0
2010,51,"radiacion","interseccion",31,758,0,0
2010,52,"radiacion","interseccion",31,758,0,0
2011,1,"precipitacion","centro",686,0,0,103
2011,2,"precipitacion","centro",686,0,0,103
2011,3,"precipitacion","centro",686,0,0,103
2011,4,"precipitacion","centro",686,0,0,103
2011,5,"precipitacion","centro",686,0,0,103
2011,6,"precipitacion","centro",686,0,0,103
2011,7,"precipitacion","centro",686,0,0,103
2011,8,"precipitacion","centro",686,0,0,103
2011,9,"precipitacion","centro",686,0,0,103
2011,10,"precipitacion","centro",686,0,0,103
2011,11,"precipitacion","centro",686,0,0,103
2011,12,"precipitacion","centro",686,0,0,103
2011,13,"precipitacion","centro",686,0,0,103
2011,14,"precipitacion","centro",686,0,0,103
2011,15,"precipitacion","centro",686,0,0,103
2011,16,"precipitacion","centro",686,0,0,103
2011,17,"precipitacion","centro",686,0,0,103
2011,18,"precipitacion","centro",686,0,0,103
2011,19,"precipitacion","centro",686,0,0,103
2011,20,"precipitacion","centro",686,0,0,103
2011,21,"precipitacion","centro",686,0,0,103
2011,22,"precipitacion","centro",686,0,0,103
2011,23,"precipitacion","centro",686,0,0,103
2011,24,"precipitacion","centro",686,0,0,103
2011,25,"precipitacion","centro",686,0,0,103
2011,26,"precipitacion","centro",686,0,0,103
2011,27,"precipitacion","centro",686,0,0,103
2011,28,"precipitacion","centro",686,0,0,103
2011,29,"precipitacion","centro",686,0,0,103
2011,30,"precipitacion","centro",686,0,0,103
2011,31,"precipitacion","centro",686,0,0,103
2011,32,"precipitacion","centro",686,0,0,103
2011,33,"precipitacion","centro",686,0,0,103
2011,34,"precipitacion","centro",686,0,0,103
2011,35,"precipitacion","centro",686,0,0,103
2011,36,"precipitacion","centro",686,0,0,103
2011,37,"precipitacion","centro",686,0,0,103
2011,38,"precipitacion","centro",686,0,0,103
2011,39,"precipitacion","centro",686,0,0,103
2011,40,"precipitacion","centro",686,0,0,103
2011,41,"precipitacion","centro",686,0,0,103
2011,42,"precipitacion","centro",686,0,0,103
2011,43,"precipitacion","centro",686,0,0,103
2011,44,"precipitacion","centro",686,0,0,103
2011,45,"precipitacion","centro",686,0,0,103
2011,46,"precipitacion","centro",686,0,0,103
2011,47,"precipitacion","centro",686,0,0,103
2011,48,"precipitacion","centro",686,0,0,103
2011,49,"precipitacion","centro",686,0,0,103
2011,50,"precipitacion","centro",686,0,0,103
2011,51,"precipitacion","centro",686,0,0,103
2011,52,"precipitacion","centro",686,0,0,103
2011,1,"precipitacion","interseccion",787,0,2,0
2011,2,"precipitacion","interseccion",787,0,2,0
2011,3,"precipitacion","interseccion",787,0,2,0
2011,4,"precipitacion","interseccion",787,0,2,0
2011,5,"precipitacion","interseccion",787,0,2,0
2011,6,"precipitacion","interseccion",787,0,2,0
2011,7,"precipitacion","interseccion",787,0,2,0
2011,8,"precipitacion","interseccion",787,0,2,0
2011,9,"precipitacion","interseccion",787,0,2,0
2011,10,"precipitacion","interseccion",787,0,2,0
2011,11,"precipitacion","interseccion",787,0,2,0
2011,12,"precipitacion","interseccion",787,0,2,0
2011,13,"precipitacion","interseccion",787,0,2,0
2011,14,"precipitacion","interseccion",787,0,2,0
2011,15,"precipitacion","interseccion",787,0,2,0
2011,16,"precipitacion","interseccion",787,0,2,0
2011,17,"precipitacion","interseccion",787,0,2,0
2011,18,"precipitacion","interseccion",787,0,2,0
2011,19,"precipitacion","interseccion",787,0,2,0
2011,20,"precipitacion","interseccion",787,0,2,0
2011,21,"precipitacion","interseccion",787,0,2,0
2011,22,"precipitacion","interseccion",787,0,2,0
2011,23,"precipitacion","interseccion",787,0,2,0
2011,24,"precipitacion","interseccion",787,0,2,0
2011,25,"precipitacion","interseccion",787,0,2,0
2011,26,"precipitacion","interseccion",787,0,2,0
2011,27,"precipitacion","interseccion",787,0,2,0
2011,28,"precipitacion","interseccion",787,0,2,0
