"anio","variable","metodo","periodo","n","ME","MAE","RMSE","correlacion","max_abs","pct_exacta"
2018,"radiacion","near","S01_S52",1404,0.00996082257001828,0.00996082257001828,0.072711865787108,0.998449084055956,0.56678581237793,98.0769230769231
2018,"radiacion","near","S02_S52",1377,0,0,0,1,0,100
2018,"temperatura","bilinear","S01_S52",6344,0.00789321461060609,0.204099350739247,0.258034209559884,0.9956184188792,0.771270751953125,16.8820933165195
2018,"temperatura","bilinear","S02_S52",6222,0.00371580421254015,0.202899673214222,0.255548317860042,0.995704160118323,0.608505249023438,17.2131147540984
2018,"radiacion","bilinear","S01_S52",1404,0.026155005832683,0.125549588108334,0.187354798786015,0.990128276195614,1.09611320495605,0.0712250712250712
2018,"radiacion","bilinear","S02_S52",1377,0.0169785214924864,0.118322017146092,0.17541244732835,0.991477183271832,1.09611320495605,0.0726216412490922
2019,"temperatura","near","S01_S52",6344,-0.0166405825717152,0.408761663064079,0.52013726334019,0.981270227276223,1.88607597351074,0.0157629255989912
2019,"temperatura","near","S02_S52",6222,-0.015819830359542,0.408151568342581,0.519278816522721,0.981234559390346,1.88607597351074,0.0160720025715204
2019,"radiacion","near","S01_S52",1404,-0.00516152789450099,0.330994883833448,0.426903240243008,0.951333824397946,1.96857070922852,0
2019,"radiacion","near","S02_S52",1377,-0.010445064275959,0.331146414070434,0.428170377466787,0.950226478414359,1.96857070922852,0
2019,"temperatura","bilinear","S01_S52",6344,0.00186529751834172,0.220976458070858,0.273155546187689,0.994894068560462,0.781675338745117,0
2019,"temperatura","bilinear","S02_S52",6222,0.00260309849625345,0.220985259169821,0.273277306604306,0.994870674347077,0.781675338745117,0
2019,"radiacion","bilinear","S01_S52",1404,0.0149330114706969,0.340358086121388,0.441912480395175,0.946483762147478,2.18191432952881,0
2019,"radiacion","bilinear","S02_S52",1377,0.0121878123231443,0.339941224241568,0.442162830526738,0.945097609616326,2.18191432952881,0
2020,"temperatura","near","S01_S52",6344,-0.0100209224419516,0.448636609548879,0.566486591195306,0.977172162950374,2.13179016113281,0
2020,"temperatura","near","S02_S52",6222,-0.0105454557695331,0.449811884997474,0.568088950555964,0.977126171338051,2.13179016113281,0
2020,"radiacion","near","S01_S52",1404,0.0132024892714628,0.640771898448977,0.847042308328416,0.845596877886103,4.09714221954346,1.42450142450142
2020,"radiacion","near","S02_S52",1377,0.0255285767255352,0.641268838205109,0.850451653836112,0.840924427321988,4.09714221954346,1.45243282498184
2020,"temperatura","bilinear","S01_S52",6344,0.00424728252247333,0.27606660886791,0.347393563203217,0.991258352979078,1.21539878845215,0.0157629255989912
2020,"temperatura","bilinear","S02_S52",6222,0.00412308859388302,0.277602728675393,0.349162775968408,0.991192904568318,1.21539878845215,0.0160720025715204
2020,"radiacion","bilinear","S01_S52",1404,0.0196357357535946,0.64451011021932,0.845261112238484,0.842942790587071,3.72552108764648,0
2020,"radiacion","bilinear","S02_S52",1377,0.0332705920904377,0.643897721450573,0.84742588607758,0.838550878125045,3.72552108764648,0
2021,"temperatura","near","S01_S52",6344,-0.0148193140198273,0.481448359176761,0.603434263983815,0.975188585918295,2.21836090087891,0
2021,"temperatura","near","S02_S52",6222,-0.0143965402625834,0.482039657600131,0.604662680986403,0.975073281730263,2.21836090087891,0
2021,"radiacion","near","S01_S52",1404,-0.00152890295044989,0.778376215203875,1.0196460407808,0.71800310544197,3.4042854309082,0
2021,"radiacion","near","S02_S52",1377,-0.0144844969373383,0.780712878435699,1.02423247871594,0.717191577445421,3.4042854309082,0
2021,"temperatura","bilinear","S01_S52",6344,0.00427054276532514,0.292638077862176,0.366581014626574,0.990547459191237,1.27285003662109,0
2021,"temperatura","bilinear","S02_S52",6222,0.00501222313120985,0.293587192620008,0.367861353041332,0.990460574132598,1.27285003662109,0
2021,"radiacion","bilinear","S01_S52",1404,0.0049523234027743,0.766939479740936,1.01253428579152,0.714375754368944,3.5605297088623,0
2021,"radiacion","bilinear","S02_S52",1377,-0.00808264400617922,0.768845436966064,1.01657278244877,0.713844630439478,3.5605297088623,0
2022,"temperatura","near","S01_S52",6344,-0.0177682248821475,0.437239025459915,0.546921332033691,0.978830136318449,1.82663917541504,0
2022,"temperatura","near","S02_S52",6222,-0.018090008846321,0.438192109286076,0.548125293575498,0.978798583004908,1.82663917541504,0
2022,"radiacion","near","S01_S52",1404,-0.0137856244361638,0.571890969561715,0.719274444144454,0.805120552738799,3.06571388244629,0
2022,"radiacion","near","S02_S52",1377,-0.0433795072933687,0.553780941488783,0.693516579189571,0.813954458793314,3.06571388244629,0
2022,"temperatura","bilinear","S01_S52",6344,-0.00370610647213564,0.250880542949951,0.310890378014095,0.993080306177402,1.01384925842285,0.0157629255989912
2022,"temperatura","bilinear","S02_S52",6222,-0.00399867593954706,0.251756593752658,0.311945955081297,0.993042162568277,1.01384925842285,0.0160720025715204
2022,"radiacion","bilinear","S01_S52",1404,-0.018834525703365,0.560772461089653,0.7114521404893,0.800959768647518,3.15655326843262,0
2022,"radiacion","bilinear","S02_S52",1377,-0.0458360864532626,0.54513574321805,0.690610251565746,0.809012924670761,3.15655326843262,0
2023,"temperatura","near","S01_S52",6344,-0.0142894440611254,0.433842837585026,0.547918634396635,0.981208668097502,1.84378051757812,0
2023,"temperatura","near","S02_S52",6222,-0.0148342174565589,0.433883765241181,0.548237779478286,0.981091130084021,1.84378051757812,0
2023,"radiacion","near","S01_S52",1404,0.00512056472973946,0.433491441259357,0.550926275953467,0.914679995670617,2.07857036590576,0
2023,"radiacion","near","S02_S52",1377,0.00652504452086915,0.440687196879778,0.555769008808593,0.912952657697649,2.07857036590576,0
2023,"temperatura","bilinear","S01_S52",6344,0.00608727129230283,0.235708879793126,0.292689431599459,0.994635748454557,0.870759963989258,0
2023,"temperatura","bilinear","S02_S52",6222,0.00581664573107836,0.236321917686843,0.293298703327896,0.994589992560064,0.870759963989258,0
2023,"radiacion","bilinear","S01_S52",1404,0.0139486110448158,0.440676938434612,0.565361551337094,0.907126770326987,2.38056755065918,0
2023,"radiacion","bilinear","S02_S52",1377,0.0154133881878489,0.448055569296223,0.570705800495877,0.905058827207556,2.38056755065918,0
2024,"temperatura","near","S01_S52",6344,-0.0258644207428864,0.401104252996842,0.511751922348383,0.981483708818354,1.97183609008789,0
2024,"temperatura","near","S02_S52",6222,-0.0153071054957067,0.396301891825966,0.505216316440847,0.98194887459073,1.57307624816895,0
2024,"radiacion","near","S01_S52",1404,-0.0195874733123345,0.0195874733123345,0.141312440834048,0.995431474232635,1.03635025024414,98.0769230769231
2024,"radiacion","near","S02_S52",1377,0,0,0,1,0,100
2024,"temperatura","bilinear","S01_S52",6344,-0.00582418074974647,0.20126703287584,0.255881178257004,0.995427697266027,0.886777877807617,16.8820933165195
2024,"temperatura","bilinear","S02_S52",6222,0.00478931624419587,0.194485748668684,0.244582697252057,0.995866973794712,0.595447540283203,17.2131147540984
2024,"radiacion","bilinear","S01_S52",1404,-0.0326483562121704,0.131096988661676,0.2252188011871,0.988074328753451,1.41570091247559,0.0712250712250712
2024,"radiacion","bilinear","S02_S52",1377,-0.0115326865479491,0.111911684339602,0.164288412817571,0.993706692895306,0.973312377929688,0.0726216412490922
2025,"temperatura","near","S01_S52",6344,-0.0132653767344029,0.455594963263744,0.568478933077577,0.977325008762204,2.02171897888184,0.0315258511979823
2025,"temperatura","near","S02_S52",6222,-0.0198898580594677,0.455412452529765,0.568311612602953,0.977384960288651,2.02171897888184,0.0321440051430408
2025,"radiacion","near","S01_S52",1404,0.00770526462131076,0.61013712027134,0.765167019019225,0.803192461297711,3.91285800933838,0
2025,"radiacion","near","S02_S52",1377,-0.00768961106510204,0.606554633911399,0.764368510872666,0.80316611235377,3.91285800933838,0
2025,"temperatura","bilinear","S01_S52",6344,0.00399194539420091,0.262364029132704,0.327646069891072,0.992295329416323,0.983697891235352,0.0315258511979823
2025,"temperatura","bilinear","S02_S52",6222,-0.00242076829023125,0.260916554019674,0.325451151719215,0.992423578109149,0.983697891235352,0.0321440051430408
2025,"radiacion","bilinear","S01_S52",1404,0.0130854128432749,0.610866302098983,0.763842343035253,0.79876101936195,3.4387092590332,0
2025,"radiacion","bilinear","S02_S52",1377,-0.00208542393703087,0.607416659225652,0.763198610140986,0.798925454514271,3.4387092590332,0
