"celda","x","y","dentro_valle","precipitacion","temperatura","radiacion","altitud","disponible_precipitacion","disponible_temperatura","disponible_radiacion","disponible_altitud","caso_completo_4_variables","anio","semana"
552,-75.8749984484166,4.2749993186444,TRUE,5.02979516983032,NA,NA,1611.0869140625,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
553,-75.8249984476715,4.2749993186444,TRUE,5.11510610580444,NA,NA,1634.38244628906,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
561,-77.2749984692782,4.22499931789935,TRUE,0,NA,NA,18.8064041137695,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
578,-76.4249984566122,4.22499931789935,TRUE,5.02048969268799,NA,NA,2460.28784179688,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
579,-76.3749984558672,4.22499931789935,TRUE,4.51818799972534,NA,NA,1777.88012695312,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
580,-76.3249984551221,4.22499931789935,TRUE,0,NA,NA,1576.59240722656,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
581,-76.2749984543771,4.22499931789935,TRUE,0,21.6382827758789,NA,1253.56604003906,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
582,-76.224998453632,4.22499931789935,TRUE,0,21.6382827758789,NA,971.425109863281,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
583,-76.1749984528869,4.22499931789935,TRUE,0,NA,NA,936.513061523438,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
584,-76.1249984521419,4.22499931789935,TRUE,0,NA,NA,994.6552734375,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
585,-76.0749984513968,4.22499931789935,TRUE,4.85533618927002,NA,NA,1072.90844726562,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
586,-76.0249984506518,4.22499931789935,TRUE,5.17979526519775,NA,NA,1056.12963867188,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
587,-75.9749984499067,4.22499931789935,TRUE,5.11658096313477,NA,NA,1191.93664550781,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
588,-75.9249984491616,4.22499931789935,TRUE,4.58221626281738,NA,NA,1666.83215332031,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
589,-75.8749984484166,4.22499931789935,TRUE,4.75256156921387,NA,NA,2000.95092773438,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
590,-75.8249984476715,4.22499931789935,TRUE,7.20734977722168,NA,NA,1733.38916015625,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
596,-77.3749984707683,4.17499931715429,TRUE,0,NA,NA,-2.9171736240387,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
597,-77.3249984700233,4.17499931715429,TRUE,0,NA,NA,8.98410320281982,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
598,-77.2749984692782,4.17499931715429,TRUE,0,NA,NA,37.7604827880859,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
600,-77.1749984677881,4.17499931715429,TRUE,0,NA,NA,30.8549346923828,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
615,-76.4249984566122,4.17499931715429,TRUE,0,NA,NA,2304.2626953125,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
616,-76.3749984558672,4.17499931715429,TRUE,0,NA,NA,1537.67614746094,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
617,-76.3249984551221,4.17499931715429,TRUE,0,NA,NA,1192.64526367188,TRUE,FALSE,FALSE,TRUE,FALSE,2024,10
618,-76.2749984543771,4.17499931715429,TRUE,0,21.3662815093994,NA,1048.84631347656,TRUE,TRUE,FALSE,TRUE,FALSE,2024,10
