"dx","dy","ME","MAE","RMSE"
0.0625,0.075,-0.165356152466124,0.238464655120516,0.293435853530766
0.075,0.075,-0.24537499178571,0.284468748147217,0.352566623537532
0.0875,0.075,-0.325393830338922,0.338865735376812,0.420519569609933
0.1,0.075,-0.405412669351958,0.413058193884874,0.493664921689017
-0.1,0.0875,0.837421762563913,0.913807011386353,1.03170869701426
-0.0875,0.0875,0.766631181122827,0.827846793337521,0.940983470524835
-0.075,0.0875,0.695840577763478,0.742920601494402,0.851902515657464
-0.0625,0.0875,0.625050016248084,0.659297849004654,0.765040471220835
-0.05,0.0875,0.554259405225008,0.577999324823108,0.681246573561292
-0.0375,0.0875,0.49193778953074,0.508038086586158,0.603575551633145
-0.025,0.0875,0.429617204761168,0.439277238609782,0.52978728078444
-0.0125,0.0875,0.350328926103593,0.356396163785929,0.45028288413109
0,0.0875,0.271038519382017,0.29346834000036,0.37847601906022
0.0125,0.0875,0.200083110003715,0.257756690586621,0.323057801409049
0.025,0.0875,0.129128700895196,0.237137690421202,0.284293145817589
0.0375,0.0875,0.0411406424757523,0.206886116464358,0.248319905236356
0.05,0.0875,-0.0468495467666337,0.202000005342538,0.24448081052204
0.0625,0.0875,-0.127265681564444,0.226709885445487,0.277806534187916
0.075,0.0875,-0.207680928136175,0.268150620198411,0.330216767760202
0.0875,0.0875,-0.288096148497956,0.316133618546391,0.394170439399377
0.1,0.0875,-0.368511384953567,0.380846997619403,0.464928126937378
-0.1,0.1,0.87135509354859,0.943357638092679,1.06224849305218
-0.0875,0.1,0.801332012705004,0.858447744086869,0.972123892236478
-0.075,0.1,0.731308899520486,0.774587769019416,0.883684928938059
-0.0625,0.1,0.661285779591888,0.6923482043304,0.797492604738632
-0.05,0.1,0.591262667633567,0.612650859781263,0.714360631747778
-0.0375,0.1,0.529677643495448,0.54382857476274,0.637587543911437
-0.025,0.1,0.468093640625726,0.47594669891377,0.564670823704116
-0.0125,0.1,0.389011064552104,0.393133206675575,0.484693913342951
0,0.1,0.309926323628587,0.321631923897479,0.411648347748634
0.0125,0.1,0.239135272247697,0.282400829851033,0.353832768298445
0.025,0.1,0.168345211480293,0.255165015336824,0.310363875010957
0.0375,0.1,0.0799923577671915,0.222608984417181,0.264388947778127
0.05,0.1,-0.00836267106520022,0.203391265194733,0.246711946315086
0.0625,0.1,-0.089175223691101,0.220574712492729,0.267823111152431
0.075,0.1,-0.169986846553517,0.253356507183922,0.311736765444322
0.0875,0.1,-0.25079846696354,0.298858666795506,0.370429567779486
